movie_name,message_id,date
Mandala Murders 2025 S01,4,13-12-2025
Mandala Murders 2025 S01,5,13-12-2025
Mandala Murders 2025 S01,6,13-12-2025
Zebra 2024,7,13-12-2025
Zebra 2024,8,13-12-2025
Zebra 2024,9,13-12-2025
Zebra 2024,10,13-12-2025
Zebra 2024,11,13-12-2025
Zebra 2024,12,13-12-2025
Zebra 2024,21,06-01-2026
Zebra 2024,22,06-01-2026
Zebra 2024,23,06-01-2026
Zebra 2024,25,07-01-2026  
Show Time 2025,13,13-12-2025
Show Time 2025,14,13-12-2025
Show Time 2025,15,13-12-2025
Show Time 2025,16,13-12-2025
Show Time 2025,17,13-12-2025
Show Time 2025,26,07-01-2026 
Show Time 2025,27,07-01-2026
Show Time 2025,28,07-01-2026
Show Time 2025,29,07-01-2026
Show Time 2025,30,07-01-2026
Taskaree: The Smugglers Web S1 (2026),31,15-01-2026
Taskaree: The Smugglers Web S1 (2026),32,15-01-2026
Taskaree: The Smugglers Web S1 (2026),33,15-01-2026
Andhadhun (2018),34,15-01-2026
Andhadhun (2018),35,15-01-2026
Andhadhun (2018),36,15-01-2026
Andhadhun (2018),37,15-01-2026
Andhadhun (2018),38,15-01-2026
Andhadhun (2018),39,15-01-2026
Andhadhun (2018),40,15-01-2026
Andhadhun (2018),41,15-01-2026
Andhadhun (2018),42,15-01-2026
Andhadhun (2018),43,15-01-2026
Andhadhun (2018),44,15-01-2026
Andhadhun (2018),45,15-01-2026
Andhadhun (2018),46,15-01-2026
Andhadhun (2018),47,15-01-2026
Anyaa 2025 S01,48,15-01-2026
Anyaa 2025 S01,49,15-01-2026
Anyaa 2025 S01,50,15-01-2026
